page_id,title,fullurl,categories
14064, 3rd Founding, https://warhammer40k.fandom.com/wiki/3rd_Founding ,"[""T"", ""Foundings"", ""History"", ""Imperium"", ""Space Marine Chapters"", ""Space Marines"", ""Third Founding"", ""Timeline""]"
14065, 13th Founding, https://warhammer40k.fandom.com/wiki/13th_Founding ,"[""D"", ""Foundings"", ""History"", ""Imperial History"", ""Imperium"", ""Space Marine Chapters"", ""Space Marines"", ""Timeline"", ""13th Founding""]"
14067, 23rd Founding, https://warhammer40k.fandom.com/wiki/23rd_Founding ,"[""S"", ""Foundings"", ""History"", ""Imperial History"", ""Imperium"", ""Space Marine Chapters"", ""Space Marines"", ""Timeline""]"
14074, 10th Founding, https://warhammer40k.fandom.com/wiki/10th_Founding ,"[""Foundings"", ""History"", ""Imperium"", ""Space Marine Chapters"", ""Space Marines"", ""Timeline""]"
14077, 19th Founding, https://warhammer40k.fandom.com/wiki/19th_Founding ,"[""Foundings"", ""History"", ""Imperial History"", ""Imperium"", ""Space Marine Chapters"", ""Space Marines"", ""Timeline""]"
16481, Absolvers, https://warhammer40k.fandom.com/wiki/Absolvers ,"[""A"", ""Gilead System"", ""Imperium"", ""Space Marine Chapters"", ""Space Marines"", ""Unknown Founding""]"
16742, 1st Claw (Night Lords), https://warhammer40k.fandom.com/wiki/1st_Claw_(Night_Lords) ,"[""F"", ""Chaos Space Marines"", ""Chaos"", ""Horus Heresy"", ""Night Lords""]"
18542, A Thousand Sons, https://warhammer40k.fandom.com/wiki/A_Thousand_Sons ,"[""T"", ""Novels"", ""The Horus Heresy novel series""]"
19048, Abyssal Crusade, https://warhammer40k.fandom.com/wiki/Abyssal_Crusade ,"[""A"", ""Campaigns"", ""History"", ""Imperial Campaigns"", ""Imperial History"", ""Space Marines"", ""Chaos"", ""Chaos Campaigns"", ""Chaos Space Marines""]"
19086, 9th Black Crusade, https://warhammer40k.fandom.com/wiki/9th_Black_Crusade ,"[""N"", ""Black Crusade"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""History"", ""Imperial History"", ""Imperium"", ""Space Marines"", ""Campaigns"", ""Imperial Campaigns"", ""Ultramarines"", ""White Scars"", ""Black Legion""]"
19125, 7th Black Crusade, https://warhammer40k.fandom.com/wiki/7th_Black_Crusade ,"[""S"", ""Black Legion"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""History"", ""Imperial History"", ""Space Marines"", ""Black Crusade"", ""Campaigns"", ""Imperial Campaigns"", ""Blood Angels""]"
19191, 25th Founding, https://warhammer40k.fandom.com/wiki/25th_Founding ,"[""T"", ""Foundings"", ""History"", ""Imperial History"", ""Imperium"", ""Space Marines"", ""Timeline""]"
1997, 13th Black Crusade (Original), https://warhammer40k.fandom.com/wiki/13th_Black_Crusade_(Original) ,"[""T"", ""Black Crusade"", ""Chaos"", ""Chaos Campaigns"", ""Eldar"", ""History"", ""Imperial Campaigns"", ""Imperial History"", ""Imperium"", ""Necron""]"
2568, Adepts, https://warhammer40k.fandom.com/wiki/Adepts ,"[""A"", ""Adepts"", ""Adeptus Terra"", ""Imperium"", ""Titles""]"
2659, Adeptus Administratum, https://warhammer40k.fandom.com/wiki/Adeptus_Administratum ,"[""A"", ""Adepts"", ""Adeptus Administratum"", ""Adeptus Terra"", ""Calixis Sector"", ""Imperium""]"
2662, Adeptus Terra, https://warhammer40k.fandom.com/wiki/Adeptus_Terra ,"[""A"", ""Adepts"", ""Adeptus Terra"", ""Imperium""]"
2664, 7th Cadian, https://warhammer40k.fandom.com/wiki/7th_Cadian ,"[""C"", ""Imperial Guard"", ""Imperial Guard Regiments"", ""Imperium""]"
2665, 8th Cadian, https://warhammer40k.fandom.com/wiki/8th_Cadian ,"[""C"", ""Imperial Guard"", ""Imperial Guard Regiments"", ""Imperium"", ""Warhammer 40,000 video games""]"
2666, 39th Cadian, https://warhammer40k.fandom.com/wiki/39th_Cadian ,"[""C"", ""Imperial Guard Regiments"", ""Imperial Guard"", ""Imperium"", ""Warhammer 40,000 video games""]"
2667, 110th Cadian, https://warhammer40k.fandom.com/wiki/110th_Cadian ,"[""C"", ""Chaos"", ""Imperial Guard Regiments"", ""Imperial Guard"", ""Imperium"", ""Warhammer 40,000 video games""]"
2668, 122nd Cadian, https://warhammer40k.fandom.com/wiki/122nd_Cadian ,"[""C"", ""Imperial Guard Regiments"", ""Imperial Guard"", ""Imperium""]"
2669, 412th Cadian, https://warhammer40k.fandom.com/wiki/412th_Cadian ,"[""C"", ""Imperial Guard Regiments"", ""Imperial Guard"", ""Imperium"", ""Warhammer 40,000 video games""]"
2670, 417th Cadian, https://warhammer40k.fandom.com/wiki/417th_Cadian ,"[""C"", ""Imperial Guard Regiments"", ""Imperial Guard"", ""Imperium""]"
2700, Adeptus Custodes, https://warhammer40k.fandom.com/wiki/Adeptus_Custodes ,"[""A"", ""Adepts"", ""Adeptus Custodes"", ""Adeptus Terra"", ""Imperium""]"
2860, Acreage, https://warhammer40k.fandom.com/wiki/Acreage ,"[""A"", ""Calixis Sector"", ""Feudal World"", ""Imperial planets"", ""Imperium"", ""Planets""]"
3327, Adamantium, https://warhammer40k.fandom.com/wiki/Adamantium ,"[""A"", ""Imperial Technology"", ""Imperium"", ""Chaos"", ""Chaos Technology"", ""Necron"", ""Necron Technology""]"
4012, Accatran, https://warhammer40k.fandom.com/wiki/Accatran ,"[""A"", ""Adeptus Mechanicus"", ""Forge World"", ""Imperial planets"", ""Imperium"", ""Planets"", ""Collegia Titanica""]"
4020, 21st Founding, https://warhammer40k.fandom.com/wiki/21st_Founding ,"[""C"", ""Cursed Founding Chapters"", ""Foundings"", ""History"", ""Space Marine Chapters"", ""Space Marines"", ""Timeline""]"
5787, 13th Penal Legion (Last Chancers), https://warhammer40k.fandom.com/wiki/13th_Penal_Legion_(Last_Chancers) ,"[""T"", ""Imperial Guard"", ""Imperial Guard Regiments"", ""Imperium""]"
7211, 85th Vendoland, https://warhammer40k.fandom.com/wiki/85th_Vendoland ,"[""V"", ""Blood Ravens"", ""Imperial Guard"", ""Imperial Guard Regiments"", ""Warhammer 40,000 video games""]"
7368, Adeptus Astra Telepathica, https://warhammer40k.fandom.com/wiki/Adeptus_Astra_Telepathica ,"[""A"", ""Adepts"", ""Adeptus Terra"", ""Imperium"", ""Sisters of Silence""]"
7369, Adeptus Astronomica, https://warhammer40k.fandom.com/wiki/Adeptus_Astronomica ,"[""A"", ""Adepts"", ""Adeptus Terra"", ""Imperium""]"
9285, 63rd Expeditionary Fleet, https://warhammer40k.fandom.com/wiki/63rd_Expeditionary_Fleet ,"[""Space Marines"", ""Chaos"", ""Chaos Space Marine Legions"", ""History"", ""Imperial History""]"
9560, Acheron-class Heavy Cruiser, https://warhammer40k.fandom.com/wiki/Acheron-class_Heavy_Cruiser ,"[""A"", ""Chaos"", ""Chaos Spacecraft"", ""Cruisers"", ""Spacecraft""]"
9576, Lost Primarchs, https://warhammer40k.fandom.com/wiki/%22Lost%22_Legions_%26_Primarchs ,"[""L"", ""First Founding"", ""History"", ""Imperial History"", ""Imperium"", ""Primarchs"", ""Space Marine Chapters"", ""Space Marines"", ""Space Marine Legions""]"
9839, 88th Siege Army, https://warhammer40k.fandom.com/wiki/88th_Siege_Army ,"[""S"", ""Imperial Guard"", ""Imperial Campaigns""]"
19190, 8th Founding, https://warhammer40k.fandom.com/wiki/8th_Founding ,"[""Foundings"", ""History"", ""Imperial History"", ""Imperium"", ""Space Marines"", ""Timeline""]"
19192, 26th Founding, https://warhammer40k.fandom.com/wiki/26th_Founding ,"[""T"", ""Foundings"", ""History"", ""Imperial History"", ""Imperium"", ""Space Marines"", ""Timeline""]"
